date,reservoir,depth,density_cells/ml
2017-09-12,BVR,5,"36797,54026"
2017-09-12,BVR,5,"71404,75075"
2017-09-12,BVR,5,"68119,25608"
2017-09-12,BVR,5,"3504,527644"
2017-09-12,BVR,5,"1135,942147"
2017-09-12,BVR,5,"86298,99324"
2017-09-12,BVR,5,"22779,42969"
2017-09-12,BVR,5,"3504,527644"
2017-09-12,BVR,5,"36359,47431"
2017-09-12,BVR,0,"38075,23263"
2017-09-12,BVR,0,"35519,84789"
2017-09-12,BVR,0,"95571,3893"
2017-09-12,BVR,0,"76917,08069"
2017-09-12,BVR,0,"16354,46234"
2017-09-12,BVR,0,"4088,615585"
2017-09-12,BVR,0,"33220,00163"
2017-09-12,BVR,0,"3577,538637"
2017-09-12,BVR,0,"107581,6976"
2017-09-12,BVR,0,"51107,69481"
2017-09-12,BVR,0,"31942,30926"
2017-09-12,BVR,0,"2810,923215"
2017-09-12,BVR,0,9585
2017-09-12,BVR,0,106500
2017-09-12,BVR,0,62125
2017-09-12,BVR,0,"294424,6032"
2017-09-12,BVR,0,35500
2017-09-12,BVR,0,21300
2017-09-12,BVR,0,53960
2017-09-12,BVR,0,532500
2017-09-12,BVR,0,124250
2017-09-12,BVR,0,14200
2017-09-12,BVR,0,"107483,0769"
2017-09-12,BVR,0,24850
2017-09-12,BVR,0,2130
2018-07-12,BVR,0,"2491,500122"
2018-07-12,BVR,0,"8432,769644"
2018-07-12,BVR,0,"17,74909605"
2018-07-12,BVR,0,"47530,15617"
2018-07-12,BVR,0,"1118,193051"
2018-07-12,BVR,0,"425,9783051"
2018-07-12,BVR,0,"82986,11945"
2018-07-12,BVR,0,"674,4656497"
2018-07-12,BVR,0,"2683,153978"
2018-07-12,BVR,0,"93335,42765"
2018-07-12,BVR,5,"5366,307955"
2018-07-12,BVR,5,"48296,7716"
2018-07-12,BVR,5,"479,2255932"
2018-07-12,BVR,5,"8432,769644"
2018-07-12,BVR,5,"3066,461689"
2018-07-12,BVR,5,"266,2364407"
2018-07-12,BVR,5,"74170,04209"
2018-07-12,BVR,5,"727,7129379"
2018-07-12,BVR,5,"74745,00366"
2017-06-05,CBR,0,"325210,2991"
2017-06-05,CBR,0,"5165,701678"
2017-06-05,CBR,0,"224314,029"
2017-06-05,CBR,0,"421,6899329"
2017-06-05,CBR,0,"26124,92707"
2017-06-05,CBR,0,"1686,759732"
2017-06-05,CBR,0,"1897,604698"
2017-06-05,CBR,0,"434214,3052"
2017-06-05,CBR,0,"5060,279195"
2017-06-05,CBR,0,"541416,5921"
2017-06-05,CBR,0,"32430,94395"
2017-06-05,CBR,0,"5587,391611"
2017-06-05,CBR,0,"3603,438217"
2017-06-05,CBR,5,"356482,995"
2017-06-05,CBR,5,"20591,07553"
2017-06-05,CBR,5,"364204,6484"
2017-06-05,CBR,5,"2319,294631"
2017-06-05,CBR,5,"18017,19109"
2017-06-05,CBR,5,"528933,2526"
2017-06-05,CBR,5,"37321,32439"
2017-06-05,CBR,5,"878981,5365"
2017-06-05,CBR,5,"25738,84441"
2017-06-05,CBR,5,"10295,53776"
2017-06-05,CBR,0,"158150,8995"
2017-06-05,CBR,0,"31029,60687"
2017-06-05,CBR,0,"843,3798658"
2017-06-05,CBR,0,"221211,0683"
2017-06-05,CBR,0,"15014,3259"
2017-06-05,CBR,0,"527,1124161"
2017-06-05,CBR,0,"279266,4618"
2017-06-05,CBR,0,"13012,41578"
2017-06-05,CBR,0,"905864,3296"
2017-06-05,CBR,0,"57054,43844"
2017-06-05,CBR,0,"4003,820241"
2017-06-05,CBR,0,"210,8449664"
2017-06-05,CBR,0,45000
2017-06-05,CBR,0,90000
2017-06-05,CBR,0,"1785937,5"
2018-06-28,CBR,0,"8739,415813"
2018-06-28,CBR,0,"15638,95461"
2018-06-28,CBR,0,"4599,692533"
2018-06-28,CBR,0,"109472,6823"
2018-06-28,CBR,0,"638,9674576"
2018-06-28,CBR,0,"22078,52416"
2018-06-28,CBR,0,"147650,1303"
2018-06-28,CBR,0,"3679,754026"
2018-06-28,CBR,0,"1703,91322"
2018-06-28,CBR,0,"1379,90776"
2018-06-28,CBR,0,"255742,9048"
2018-06-28,CBR,0,"68995,38799"
2018-06-28,CBR,0,"690873,8184"
2018-06-28,CBR,0,"91993,85066"
2018-06-28,CBR,5,"905,2038983"
2018-06-28,CBR,5,"106,4945763"
2018-06-28,CBR,5,"67155,51098"
2018-06-28,CBR,5,"29438,03221"
2018-06-28,CBR,5,"267242,1362"
2018-06-28,CBR,5,"6123,438136"
2018-06-28,CBR,5,"1437,67678"
2018-06-28,CBR,5,"12879,13909"
2018-06-28,CBR,5,"433751,0059"
2018-06-28,CBR,5,"28518,0937"
2018-06-28,CBR,5,"188127,4246"
2018-06-28,CBR,5,"62555,81845"
2018-07-16,CBR,0,"2396,127966"
2018-07-16,CBR,0,"11959,20059"
2018-07-16,CBR,0,"6439,569546"
2018-07-16,CBR,0,"53356,43338"
2018-07-16,CBR,0,"83714,4041"
2018-07-16,CBR,0,"89694,00439"
2018-07-16,CBR,0,"5085,116017"
2018-07-16,CBR,0,"14719,01611"
2018-07-16,CBR,0,"638,9674576"
2018-07-16,CBR,0,"20698,6164"
2018-07-16,CBR,0,"5406938,572"
2018-07-16,CBR,0,"5519,63104"
2018-07-16,CBR,0,"32197,84773"
2018-07-16,CBR,0,"206986,164"
2018-07-16,CBR,5,"638,9674576"
2018-07-16,CBR,5,"14323,52051"
2018-07-16,CBR,5,"116525,5442"
2018-07-16,CBR,5,"67462,15715"
2018-07-16,CBR,5,"65162,31088"
2018-07-16,CBR,5,"2875,353559"
2018-07-16,CBR,5,"84327,69644"
2018-07-16,CBR,5,"11499,23133"
2018-07-16,CBR,5,"16865,53929"
2018-07-16,CBR,5,"1181354,366"
2018-07-16,CBR,5,"20819,68966"
2018-07-16,CBR,5,"35264,30942"
2018-07-16,CBR,5,"160222,6232"
2018-09-04,CBR,0,"3620,815593"
2018-09-04,CBR,0,"9199,385066"
2018-09-04,CBR,0,"188587,3939"
2018-09-04,CBR,0,"56346,23353"
2018-09-04,CBR,0,"277131,4751"
2018-09-04,CBR,0,"1703,91322"
2018-09-04,CBR,0,"1703,91322"
2018-09-04,CBR,0,"1478801,149"
2018-09-04,CBR,0,"106,4945763"
2018-09-04,CBR,0,"772748,3455"
2018-09-04,CBR,0,"167888,7775"
2018-09-04,CBR,5,"430531,2211"
2018-09-04,CBR,5,"2981,848136"
2018-09-04,CBR,5,"283341,06"
2018-09-04,CBR,5,"38637,41728"
2018-09-04,CBR,5,"23918,40117"
2018-09-04,CBR,5,"1703,91322"
2018-09-04,CBR,5,"5519,63104"
2018-09-04,CBR,5,"594280,2753"
2018-09-04,CBR,5,"12459,86542"
2018-09-04,CBR,5,"1346789,974"
2018-09-04,CBR,5,"745,4620339"
2018-09-04,CBR,5,"299899,9531"
2017-06-06,CCK,0,"283,9855367"
2017-06-06,CCK,0,"93527,0815"
2017-06-06,CCK,0,"14635,38533"
2017-06-06,CCK,0,"47112,00231"
2017-06-06,CCK,0,"9896,308177"
2017-06-06,CCK,0,"288526,168"
2017-06-06,CCK,0,"5575,384888"
2017-06-06,CCK,0,"3902,769422"
2017-06-06,CCK,5,"138,4429492"
2017-06-06,CCK,5,"38721,04805"
2017-06-06,CCK,5,"31277,90922"
2017-06-06,CCK,5,"27932,67829"
2017-06-06,CCK,5,"660,2663729"
2017-06-06,CCK,5,"167,2615467"
2017-06-06,CCK,5,"2843,446293"
2017-06-06,CCK,5,"117333,975"
2017-06-06,CCK,5,"8530,338879"
2017-06-06,CCK,0,"4761,686215"
2017-06-06,CCK,0,"1673,024886"
2017-06-06,CCK,0,"81334,74833"
2017-06-06,CCK,0,"632,5348993"
2017-06-06,CCK,0,"31,62674497"
2017-06-06,CCK,0,"1930,413331"
2017-06-06,CCK,0,"36420,46484"
2017-06-06,CCK,0,"105,4224832"
2017-06-06,CCK,0,"2573,884441"
2017-06-06,CCK,0,"46457,1"
2017-06-06,CCK,0,25000
2017-06-06,CCK,0,1250
2017-06-06,CCK,0,750
2017-06-06,CCK,0,"186214,3"
2018-06-28,CCK,0,"3986,400195"
2018-06-28,CCK,0,"61942,52611"
2018-06-28,CCK,0,"93833,72767"
2018-06-28,CCK,0,"70,99638418"
2018-06-28,CCK,0,"115912,2518"
2018-06-28,CCK,0,"7359,508053"
2018-06-28,CCK,0,"22691,8165"
2018-06-28,CCK,0,"19625,35481"
2018-06-28,CCK,0,"1533,230844"
2018-06-28,CCK,0,"1224,687627"
2018-06-28,CCK,0,"85860,92728"
2018-06-28,CCK,0,"159,7418644"
2018-06-28,CCK,0,"57956,12592"
2018-06-28,CCK,5,"8739,415813"
2018-06-28,CCK,5,"114072,3748"
2018-06-28,CCK,5,"121891,8521"
2018-06-28,CCK,5,"919,9385066"
2018-06-28,CCK,5,"160069,3001"
2018-06-28,CCK,5,"452,6019492"
2018-06-28,CCK,5,"47376,83309"
2018-06-28,CCK,5,"14719,01611"
2018-06-28,CCK,5,"459,9692533"
2018-06-28,CCK,5,"56116,2489"
2018-06-28,CCK,5,"1890,278729"
2018-06-28,CCK,5,"19778,67789"
2018-06-28,CCK,5,"70835,26501"
2018-07-18,CCK,0,"3942,5936"
2018-07-18,CCK,0,"80166,06986"
2018-07-18,CCK,0,"1971,2968"
2018-07-18,CCK,0,"72937,98159"
2018-07-18,CCK,0,"153761,1504"
2018-07-18,CCK,0,"206329,065"
2018-07-18,CCK,0,"292,8600847"
2018-07-18,CCK,0,"657,0989333"
